ChickFil-A Chicken Sandwich,FALSE,3.35,chickfila_chicken_sandwich.jpg
ChickFil-A Chicken Sandwich Combo,TRUE,6.55,chickfila_chicken_sandwich_combo.jpg
ChickFil-A Chicken Deluxe Sandwich,FALSE,4.02,chickfila_chicken_deluxe_sandwich.jpg
ChickFil-A Chicken Deluxe Sandwich Combo,TRUE,7.21,chickfila_chicken_deluxe_sandwich_combo.jpg
Spicy Chicken Sandwich,FALSE,3.62,spicy_chicken_sandwich.jpg
Spicy Chicken Sandwich Combo,TRUE,6.81,spicy_chicken_sandwich_combo.jpg
Spicy Chicken Deluxe Sandwich,FALSE,4.28,spicy_chicken_deluxe_sandwich.jpg
Spicy Chicken Deluxe Sandwich Combo,TRUE,7.47,spicy_chicken_deluxe_sandwich_combo.jpg
ChickFil-A Nuggets 8Pc,FALSE,3.35,chickfila_nuggets_8pc.jpg
ChickFil-A Nuggets 12Pc,FALSE,4.9,chickfila_nuggets_12pc.jpg
ChickFil-A Nuggets Combo 8Pc,TRUE,6.55,chickfila_nuggets_combo_8pc.jpg
ChickFil-A Nuggets Combo 12Pc,TRUE,9.45,chickfila_nuggets_combo_12pc.jpg
ChickFil-A Nuggets Grilled 8Pc,FALSE,4.24,chickfila_grilled_nuggets_8pc.jpg
ChickFil-A Nuggets Grilled 12Pc,FALSE,6.33,chickfila_grilled_nuggets_12pc.jpg
ChickFil-A Nuggets Grilled Combo 8Pc,TRUE,7.43,chickfila_grilled_nuggets_combo_8pc.jpg
ChickFil-A Nuggets Grilled Combo 12Pc,TRUE,9.45,chickfila_grilled_nuggets_combo_12pc.jpg
Chicken Strips 3Pc,FALSE,3.69,chickn_strips_3pc.jpg
Chickrn Strips 4Pc,FALSE,4.83,chickn_strips_4pc.jpg
Chicken Strips Combo 3Pc,TRUE,6.88,chickn_strips_combo_3pc.jpg
Chicken Strips Combo 4Pc,TRUE,7.98,chickn_strips_combo_4pc.jpg
Grilled Chicken Sandwich,FALSE,4.83,grilled_chicken_sandwich.jpg
Grilled Chicken Sandwich Combo,FALSE,7.91,grilled_chicken_sandwich_combo.jpg
Grilled Chicken Club Sandwich,FALSE,6.15,grilled_chicken_club_sandwich.jpg
Grilled Chicken Club Sandwich Combo,TRUE,9.23,grilled_chicken_club_sandwich_combo.jpg
